code_5,code_4,code_3,code_2,code_1,libelle_5,libelle_4,libelle_3,libelle_2,libelle_1
01.11Z,01.11,01.1,01,A,Culture de céréales (à l'exception du riz) de légumineuses et de graines oléagineuses,Culture de céréales (à l'exception du riz) de légumineuses et de graines oléagineuses,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.12Z,01.12,01.1,01,A,Culture du riz,Culture du riz,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.13Z,01.13,01.1,01,A,Culture de légumes de melons de racines et de tubercules,Culture de légumes de melons de racines et de tubercules,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.14Z,01.14,01.1,01,A,Culture de la canne à sucre,Culture de la canne à sucre,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.15Z,01.15,01.1,01,A,Culture du tabac,Culture du tabac,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.16Z,01.16,01.1,01,A,Culture de plantes à fibres,Culture de plantes à fibres,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.19Z,01.19,01.1,01,A,Autres cultures non permanentes,Autres cultures non permanentes,Cultures non permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.21Z,01.21,01.2,01,A,Culture de la vigne,Culture de la vigne,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.22Z,01.22,01.2,01,A,Culture de fruits tropicaux et subtropicaux,Culture de fruits tropicaux et subtropicaux,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.23Z,01.23,01.2,01,A,Culture d'agrumes,Culture d'agrumes,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.24Z,01.24,01.2,01,A,Culture de fruits à pépins et à noyau,Culture de fruits à pépins et à noyau,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.25Z,01.25,01.2,01,A,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.26Z,01.26,01.2,01,A,Culture de fruits oléagineux,Culture de fruits oléagineux,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.27Z,01.27,01.2,01,A,Culture de plantes à boissons,Culture de plantes à boissons,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.28Z,01.28,01.2,01,A,Culture de plantes à épices aromatiques médicinales et pharmaceutiques,Culture de plantes à épices aromatiques médicinales et pharmaceutiques,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.29Z,01.29,01.2,01,A,Autres cultures permanentes,Autres cultures permanentes,Cultures permanentes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.30Z,01.30,01.3,01,A,Reproduction de plantes,Reproduction de plantes,Reproduction de plantes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.41Z,01.41,01.4,01,A,Élevage de vaches laitières,Élevage de vaches laitières,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.42Z,01.42,01.4,01,A,Élevage d'autres bovins et de buffles,Élevage d'autres bovins et de buffles,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.43Z,01.43,01.4,01,A,Élevage de chevaux et d'autres équidés,Élevage de chevaux et d'autres équidés,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.44Z,01.44,01.4,01,A,Élevage de chameaux et d'autres camélidés,Élevage de chameaux et d'autres camélidés,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.45Z,01.45,01.4,01,A,Élevage d'ovins et de caprins,Élevage d'ovins et de caprins,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.46Z,01.46,01.4,01,A,Élevage de porcins,Élevage de porcins,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.47Z,01.47,01.4,01,A,Élevage de volailles,Élevage de volailles,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.49Z,01.49,01.4,01,A,Élevage d'autres animaux,Élevage d'autres animaux,Production animale,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.50Z,01.50,01.5,01,A,Culture et élevage associés,Culture et élevage associés,Culture et élevage associés,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
01.61Z,01.61,01.6,01,A,Activités de soutien aux cultures,Activités de soutien aux cultures,Activités de soutien à l'agriculture et traitement primaire des récoltes,Culture et production animale chasse et services annexes,Agriculture sylviculture et pêche
